Sr.,Treatment Kit/ID No,Qty.,Randomization Group,Status
1,K0001,1,Porlia,Active
2,K0002,1,Porlia,Active
3,K0003,1,Porlia,Active
4,K0004,1,Porlia,Active
5,K0005,1,Porlia,Active
6,K0006,1,Porlia,Active
7,K0007,1,Porlia,Active
8,K0008,1,Porlia,Active
9,K0009,1,Porlia,Active
10,K0010,1,Porlia,Active
11,K0011,1,Porlia,Active
12,K0012,1,Porlia,Active
13,K0013,1,Porlia,Active
14,K0014,1,Porlia,Active
15,K0015,1,Porlia,Active
16,K0016,1,Porlia,Active
17,K0017,1,Porlia,Active
18,K0018,1,Porlia,Active
19,K0019,1,Porlia,Active
20,K0020,1,Porlia,Active
21,K0021,1,Porlia,Active
22,K0022,1,Porlia,Active
23,K0023,1,Porlia,Active
24,K0024,1,Porlia,Active
25,K0025,1,Porlia,Active
26,K0026,1,Porlia,Active
27,K0027,1,Porlia,Active
28,K0028,1,Porlia,Active
29,K0029,1,Porlia,Active
30,K0030,1,Porlia,Active
31,K0031,1,Porlia,Active
32,K0032,1,Porlia,Active
33,K0033,1,Porlia,Active
34,K0034,1,Porlia,Active
35,K0035,1,Porlia,Active
36,K0036,1,Porlia,Active
37,K0037,1,Porlia,Active
38,K0038,1,Porlia,Active
39,K0039,1,Porlia,Active
40,K0040,1,Porlia,Active
41,K0041,1,Porlia,Active
42,K0042,1,Porlia,Active
43,K0043,1,Porlia,Active
44,K0044,1,Porlia,Active
45,K0045,1,Porlia,Active
46,K0046,1,Porlia,Active
47,K0047,1,Porlia,Active
48,K0048,1,Porlia,Active
49,K0049,1,Porlia,Active
50,K0050,1,Porlia,Active
51,K0051,1,Porlia,Active
52,K0052,1,Porlia,Active
53,K0053,1,Porlia,Active
54,K0054,1,Porlia,Active
55,K0055,1,Porlia,Active
56,K0056,1,Porlia,Active
57,K0057,1,Porlia,Active
58,K0058,1,Porlia,Active
59,K0059,1,Porlia,Active
60,K0060,1,Porlia,Active
61,K0061,1,Porlia,Active
62,K0062,1,Porlia,Active
63,K0063,1,Porlia,Active
64,K0064,1,Porlia,Active
65,K0065,1,Porlia,Active
66,K0066,1,Porlia,Active
67,K0067,1,Porlia,Active
68,K0068,1,Porlia,Active
69,K0069,1,Porlia,Active
70,K0070,1,Porlia,Active
71,K0071,1,Porlia,Active
72,K0072,1,Porlia,Active
73,K0073,1,Porlia,Active
74,K0074,1,Porlia,Active
75,K0075,1,Porlia,Active
76,K0076,1,Porlia,Active
77,K0077,1,Porlia,Active
78,K0078,1,Porlia,Active
79,K0079,1,Porlia,Active
80,K0080,1,Porlia,Active
81,K0081,1,Porlia,Active
82,K0082,1,Porlia,Active
83,K0083,1,Porlia,Active
84,K0084,1,Porlia,Active
85,K0085,1,Porlia,Active
86,K0086,1,Porlia,Active
87,K0087,1,Porlia,Active
88,K0088,1,Porlia,Active
89,K0089,1,Porlia,Active
90,K0090,1,Porlia,Active
91,K0091,1,Porlia,Active
92,K0092,1,Porlia,Active
93,K0093,1,Porlia,Active
94,K0094,1,Porlia,Active
95,K0095,1,Porlia,Active
96,K0096,1,Porlia,Active
97,K0097,1,Porlia,Active
98,K0098,1,Porlia,Active
99,K0099,1,Porlia,Active
100,K0100,1,Porlia,Active
101,K0101,1,Porlia,Active
102,K0102,1,Porlia,Active
103,K0103,1,Porlia,Active
104,K0104,1,Porlia,Active
105,K0105,1,Porlia,Active
106,K0106,1,Porlia,Active
107,K0107,1,Porlia,Active
108,K0108,1,Porlia,Active
109,K0109,1,Porlia,Active
110,K0110,1,Porlia,Active
111,K0111,1,Porlia,Active
112,K0112,1,Porlia,Active
113,K0113,1,Porlia,Active
114,K0114,1,Porlia,Active
115,K0115,1,Porlia,Active
116,K0116,1,Porlia,Active
117,K0117,1,Porlia,Active
118,K0118,1,Porlia,Active
119,K0119,1,Porlia,Active
120,K0120,1,Porlia,Active
121,K0121,1,Porlia,Active
122,K0122,1,Porlia,Active
123,K0123,1,Porlia,Active
124,K0124,1,Porlia,Active
125,K0125,1,Porlia,Active
126,K0126,1,Porlia,Active
127,K0127,1,Porlia,Active
128,K0128,1,Porlia,Active
129,K0129,1,Porlia,Active
130,K0130,1,Porlia,Active
131,K0131,1,Porlia,Active
132,K0132,1,Porlia,Active
133,K0133,1,Porlia,Active
134,K0134,1,Porlia,Active
135,K0135,1,Porlia,Active
136,K0136,1,Porlia,Active
137,K0137,1,Porlia,Active
138,K0138,1,Porlia,Active
139,K0139,1,Porlia,Active
140,K0140,1,Porlia,Active
141,K0141,1,Porlia,Active
142,K0142,1,Porlia,Active
143,K0143,1,Porlia,Active
144,K0144,1,Porlia,Active
145,K0145,1,Porlia,Active
146,K0146,1,Porlia,Active
147,K0147,1,Porlia,Active
148,K0148,1,Porlia,Active
149,K0149,1,Porlia,Active
150,K0150,1,Porlia,Active
151,K0151,1,Porlia,Active
152,K0152,1,Porlia,Active
153,K0153,1,Porlia,Active
154,K0154,1,Porlia,Active
155,K0155,1,Porlia,Active
156,K0156,1,Porlia,Active
157,K0157,1,Porlia,Active
158,K0158,1,Porlia,Active
159,K0159,1,Porlia,Active
160,K0160,1,Porlia,Active
161,K0161,1,Porlia,Active
162,K0162,1,Porlia,Active
163,K0163,1,Porlia,Active
164,K0164,1,Porlia,Active
165,K0165,1,Porlia,Active
166,K0166,1,Porlia,Active
167,K0167,1,Porlia,Active
168,K0168,1,Porlia,Active
169,K0169,1,Porlia,Active
170,K0170,1,Porlia,Active
171,K0171,1,Porlia,Active
172,K0172,1,Porlia,Active
173,K0173,1,Porlia,Active
174,K0174,1,Porlia,Active
175,K0175,1,Porlia,Active
176,K0176,1,Porlia,Active
177,K0177,1,Porlia,Active
178,K0178,1,Porlia,Active
179,K0179,1,Porlia,Active
180,K0180,1,Porlia,Active
181,K0181,1,Porlia,Active
182,K0182,1,Porlia,Active
183,K0183,1,Porlia,Active
184,K0184,1,Porlia,Active
185,K0185,1,Porlia,Active
186,K0186,1,Porlia,Active
187,K0187,1,Porlia,Active
188,K0188,1,Porlia,Active
189,K0189,1,Porlia,Active
190,K0190,1,Porlia,Active
191,K0191,1,Porlia,Active
192,K0192,1,Porlia,Active
193,K0193,1,Porlia,Active
194,K0194,1,Porlia,Active
195,K0195,1,Porlia,Active
196,K0196,1,Porlia,Active
197,K0197,1,Porlia,Active
198,K0198,1,Porlia,Active
199,K0199,1,Porlia,Active
200,K0200,1,Porlia,Active
